GWAS	GWAS_region	eQTLs	mQTL_top_coloc_Tissue	mQTL_top_coloc_cpg	mQTLs
Astle_et_al_2016_Lymphocyte_counts	region1275	FALSE	Ovary	cg04706144	TRUE
Astle_et_al_2016_Lymphocyte_counts	region1277	FALSE	Lung	cg25709222	TRUE
Astle_et_al_2016_Lymphocyte_counts	region1438	FALSE	Ovary	cg00121339	TRUE
Astle_et_al_2016_Lymphocyte_counts	region1499	FALSE	Lung	cg12019069	TRUE
Astle_et_al_2016_Lymphocyte_counts	region15	FALSE	Lung	cg02683885	TRUE
Astle_et_al_2016_Lymphocyte_counts	region1587	FALSE	Lung	cg19357865	TRUE
Astle_et_al_2016_Lymphocyte_counts	region1622	FALSE	WholeBlood	cg09286797	TRUE
Astle_et_al_2016_Lymphocyte_counts	region250	FALSE	Ovary	cg10909390	TRUE
Astle_et_al_2016_Lymphocyte_counts	region267	FALSE	ColonTransverse	cg08419356	TRUE
Astle_et_al_2016_Lymphocyte_counts	region284	FALSE	Ovary	cg24967694	TRUE
Astle_et_al_2016_Lymphocyte_counts	region295	FALSE	WholeBlood	cg21473142	TRUE
Astle_et_al_2016_Lymphocyte_counts	region314	FALSE	KidneyCortex	cg11096815	TRUE
Astle_et_al_2016_Lymphocyte_counts	region34	FALSE	Lung	cg09132102	TRUE
Astle_et_al_2016_Lymphocyte_counts	region351	FALSE	Prostate	cg12793116	TRUE
Astle_et_al_2016_Lymphocyte_counts	region450	FALSE	Lung	cg18719508	TRUE
Astle_et_al_2016_Lymphocyte_counts	region595	FALSE	Lung	cg25042306	TRUE
Astle_et_al_2016_Lymphocyte_counts	region607	FALSE	Ovary	cg20173654	TRUE
Astle_et_al_2016_Lymphocyte_counts	region756	FALSE	Lung	cg17629006	TRUE
Astle_et_al_2016_Lymphocyte_counts	region908	FALSE	Ovary	cg16324694	TRUE
Astle_et_al_2016_Lymphocyte_counts	region925	FALSE	Ovary	cg15326863	TRUE
Astle_et_al_2016_Lymphocyte_counts	region989	FALSE	ColonTransverse	cg07218643	TRUE
Astle_et_al_2016_Monocyte_count	region1072	FALSE	Lung	cg02030034	TRUE
Astle_et_al_2016_Monocyte_count	region1367	FALSE	Lung	cg01742369	TRUE
Astle_et_al_2016_Monocyte_count	region1414	FALSE	Prostate	cg27177709	TRUE
Astle_et_al_2016_Monocyte_count	region1451	FALSE	Lung	cg16519923	TRUE
Astle_et_al_2016_Monocyte_count	region1476	FALSE	Lung	cg19089810	TRUE
Astle_et_al_2016_Monocyte_count	region1498	FALSE	Lung	cg26877678	TRUE
Astle_et_al_2016_Monocyte_count	region1504	FALSE	MuscleSkeletal	cg07427276	TRUE
Astle_et_al_2016_Monocyte_count	region1516	FALSE	Lung	cg23289870	TRUE
Astle_et_al_2016_Monocyte_count	region1634	FALSE	ColonTransverse	cg10107338	TRUE
Astle_et_al_2016_Monocyte_count	region173	FALSE	Lung	cg03932406	TRUE
Astle_et_al_2016_Monocyte_count	region197	FALSE	Lung	cg15692972	TRUE
Astle_et_al_2016_Monocyte_count	region654	FALSE	Ovary	cg01374669	TRUE
Astle_et_al_2016_Monocyte_count	region700	FALSE	Lung	cg05669853	TRUE
Astle_et_al_2016_Monocyte_count	region718	FALSE	KidneyCortex	cg06381319	TRUE
Astle_et_al_2016_Monocyte_count	region745	FALSE	Lung	cg13034073	TRUE
Astle_et_al_2016_Monocyte_count	region765	FALSE	Prostate	cg06647007	TRUE
Astle_et_al_2016_Monocyte_count	region797	FALSE	ColonTransverse	cg22175513	TRUE
Astle_et_al_2016_Monocyte_count	region853	FALSE	Lung	cg05566310	TRUE
Astle_et_al_2016_Monocyte_count	region855	FALSE	Lung	cg07526473	TRUE
Astle_et_al_2016_Monocyte_count	region879	FALSE	Lung	cg25661026	TRUE
Astle_et_al_2016_Monocyte_count	region92	FALSE	Lung	cg21913528	TRUE
Astle_et_al_2016_Monocyte_count	region998	FALSE	WholeBlood	cg16416819	TRUE
Astle_et_al_2016_Monocyte_count	region1030	FALSE	Lung	cg13133322	TRUE
Astle_et_al_2016_Monocyte_count	region1039	FALSE	Lung	cg09348985	TRUE
Astle_et_al_2016_Monocyte_count	region1131	FALSE	Lung	cg09886342	TRUE
Astle_et_al_2016_Monocyte_count	region1173	FALSE	Lung	cg03702171	TRUE
Astle_et_al_2016_Monocyte_count	region1181	FALSE	Lung	cg12226293	TRUE
Astle_et_al_2016_Monocyte_count	region1209	FALSE	Lung	cg21236262	TRUE
Astle_et_al_2016_Monocyte_count	region121	FALSE	Lung	cg23811057	TRUE
Astle_et_al_2016_Monocyte_count	region122	FALSE	Lung	cg12303769	TRUE
Astle_et_al_2016_Monocyte_count	region1477	FALSE	Lung	cg14742251	TRUE
Astle_et_al_2016_Monocyte_count	region1501	FALSE	Lung	cg12698626	TRUE
Astle_et_al_2016_Monocyte_count	region190	FALSE	Ovary	cg15122966	TRUE
Astle_et_al_2016_Monocyte_count	region211	FALSE	Lung	cg17801073	TRUE
Astle_et_al_2016_Monocyte_count	region274	FALSE	Lung	cg03302801	TRUE
Astle_et_al_2016_Monocyte_count	region284	FALSE	Ovary	cg24967694	TRUE
Astle_et_al_2016_Monocyte_count	region293	FALSE	Lung	cg14370568	TRUE
Astle_et_al_2016_Monocyte_count	region351	FALSE	Prostate	cg12793116	TRUE
Astle_et_al_2016_Monocyte_count	region38	FALSE	WholeBlood	cg17502594	TRUE
Astle_et_al_2016_Monocyte_count	region607	FALSE	Ovary	cg26247309	TRUE
Astle_et_al_2016_Monocyte_count	region61	FALSE	Lung	cg14515779	TRUE
Astle_et_al_2016_Monocyte_count	region648	FALSE	Prostate	cg14030158	TRUE
Astle_et_al_2016_Monocyte_count	region748	FALSE	WholeBlood	cg11554529	TRUE
Astle_et_al_2016_Monocyte_count	region925	FALSE	Lung	cg18342395	TRUE
Astle_et_al_2016_Myeloid_white_cell_count	region1059	FALSE	Lung	cg13574913	TRUE
Astle_et_al_2016_Myeloid_white_cell_count	region1070	FALSE	Ovary	cg15922692	TRUE
Astle_et_al_2016_Myeloid_white_cell_count	region131	FALSE	Ovary	cg05615449	TRUE
Astle_et_al_2016_Myeloid_white_cell_count	region1367	FALSE	BreastMammaryTissue	cg13225565	TRUE
Astle_et_al_2016_Myeloid_white_cell_count	region1451	FALSE	Lung	cg24033122	TRUE
Astle_et_al_2016_Myeloid_white_cell_count	region1476	FALSE	Lung	cg19089810	TRUE
Astle_et_al_2016_Myeloid_white_cell_count	region1483	FALSE	Lung	cg06349515	TRUE
Astle_et_al_2016_Myeloid_white_cell_count	region1486	FALSE	Lung	cg07967207	TRUE
Astle_et_al_2016_Myeloid_white_cell_count	region1503	FALSE	WholeBlood	cg02129597	TRUE
Astle_et_al_2016_Myeloid_white_cell_count	region1508	FALSE	Lung	cg10780632	TRUE
Astle_et_al_2016_Myeloid_white_cell_count	region1585	FALSE	ColonTransverse	cg15194935	TRUE
Astle_et_al_2016_Myeloid_white_cell_count	region167	FALSE	Lung	cg17320804	TRUE
Astle_et_al_2016_Myeloid_white_cell_count	region1686	FALSE	Lung	cg27070084	TRUE
Astle_et_al_2016_Myeloid_white_cell_count	region189	FALSE	ColonTransverse	cg17459174	TRUE
Astle_et_al_2016_Myeloid_white_cell_count	region197	FALSE	Ovary	cg07921649	TRUE
Astle_et_al_2016_Myeloid_white_cell_count	region437	FALSE	Lung	cg24862787	TRUE
Astle_et_al_2016_Myeloid_white_cell_count	region5	FALSE	Lung	cg19371916	TRUE
Astle_et_al_2016_Myeloid_white_cell_count	region636	FALSE	Lung	cg09200468	TRUE
Astle_et_al_2016_Myeloid_white_cell_count	region654	FALSE	Lung	cg18221076	TRUE
Astle_et_al_2016_Myeloid_white_cell_count	region718	FALSE	Ovary	cg17509516	TRUE
Astle_et_al_2016_Myeloid_white_cell_count	region797	FALSE	ColonTransverse	cg22175513	TRUE
Astle_et_al_2016_Myeloid_white_cell_count	region853	FALSE	Lung	cg16773768	TRUE
Astle_et_al_2016_Myeloid_white_cell_count	region855	FALSE	Prostate	cg21073927	TRUE
Astle_et_al_2016_Myeloid_white_cell_count	region1039	FALSE	Lung	cg09348985	TRUE
Astle_et_al_2016_Myeloid_white_cell_count	region1173	FALSE	Lung	cg03702171	TRUE
Astle_et_al_2016_Myeloid_white_cell_count	region1209	FALSE	Lung	cg21236262	TRUE
Astle_et_al_2016_Myeloid_white_cell_count	region122	FALSE	Lung	cg12303769	TRUE
Astle_et_al_2016_Myeloid_white_cell_count	region1556	FALSE	Lung	cg06288539	TRUE
Astle_et_al_2016_Myeloid_white_cell_count	region1639	FALSE	Lung	cg23816682	TRUE
Astle_et_al_2016_Myeloid_white_cell_count	region436	FALSE	Lung	cg11717701	TRUE
Astle_et_al_2016_Myeloid_white_cell_count	region475	FALSE	Prostate	cg14022706	TRUE
Astle_et_al_2016_Myeloid_white_cell_count	region521	FALSE	ColonTransverse	cg25518571	TRUE
Astle_et_al_2016_Myeloid_white_cell_count	region644	FALSE	Ovary	cg15027533	TRUE
Astle_et_al_2016_Myeloid_white_cell_count	region732	FALSE	Ovary	cg01046905	TRUE
Astle_et_al_2016_Myeloid_white_cell_count	region776	FALSE	Lung	cg04778099	TRUE
Astle_et_al_2016_Myeloid_white_cell_count	region869	FALSE	Lung	cg21879841	TRUE
Astle_et_al_2016_Myeloid_white_cell_count	region883	FALSE	Lung	cg08894788	TRUE
Astle_et_al_2016_Myeloid_white_cell_count	region923	FALSE	Lung	cg07014292	TRUE
Astle_et_al_2016_Myeloid_white_cell_count	region925	FALSE	Ovary	cg17837330	TRUE
Astle_et_al_2016_Myeloid_white_cell_count	region935	FALSE	Lung	cg04713002	TRUE
Astle_et_al_2016_Neutrophil_count	region1059	FALSE	Lung	cg13574913	TRUE
Astle_et_al_2016_Neutrophil_count	region131	FALSE	Ovary	cg05615449	TRUE
Astle_et_al_2016_Neutrophil_count	region1367	FALSE	BreastMammaryTissue	cg13225565	TRUE
Astle_et_al_2016_Neutrophil_count	region1476	FALSE	Lung	cg19089810	TRUE
Astle_et_al_2016_Neutrophil_count	region1483	FALSE	WholeBlood	cg02622416	TRUE
Astle_et_al_2016_Neutrophil_count	region1495	FALSE	Lung	cg16375691	TRUE
Astle_et_al_2016_Neutrophil_count	region1503	FALSE	WholeBlood	cg02129597	TRUE
Astle_et_al_2016_Neutrophil_count	region1585	FALSE	ColonTransverse	cg15194935	TRUE
Astle_et_al_2016_Neutrophil_count	region1591	FALSE	Prostate	cg01419561	TRUE
Astle_et_al_2016_Neutrophil_count	region167	FALSE	Lung	cg17320804	TRUE
Astle_et_al_2016_Neutrophil_count	region189	FALSE	ColonTransverse	cg17459174	TRUE
Astle_et_al_2016_Neutrophil_count	region437	FALSE	Lung	cg24862787	TRUE
Astle_et_al_2016_Neutrophil_count	region5	FALSE	WholeBlood	cg10211414	TRUE
Astle_et_al_2016_Neutrophil_count	region654	FALSE	Lung	cg18221076	TRUE
Astle_et_al_2016_Neutrophil_count	region797	FALSE	ColonTransverse	cg22175513	TRUE
Astle_et_al_2016_Neutrophil_count	region853	FALSE	Lung	cg16773768	TRUE
Astle_et_al_2016_Neutrophil_count	region855	FALSE	Prostate	cg21073927	TRUE
Astle_et_al_2016_Neutrophil_count	region1039	FALSE	Lung	cg09348985	TRUE
